,Unnamed: 0.1,Unnamed: 0,NAPRORE_ID,SMILES,NAME,SOURCE_SPECIES,REFERENCE,NPC_PATHWAY_1,NPC_PATHWAY_2,NPC_PATHWAY_3,NPC_SUPERCLASS_1,NPC_SUPERCLASS_2,NPC_SUPERCLASS_3,NPC_CLASS_1,NPC_CLASS_2,NPC_CLASS_3,NPC_IS_GLYCOSIDE,NUM_ATOMS,NUM_BONDS,MOL_WT,HBD_COUNT,HBA_COUNT,ROTABLE_BONDS,LOGP,TPSA,AROMATIC_RING_COUNT,ACID_GROUP_COUNT,BASE_GROUP_COUNT,IONIZABLE
22,22,22,23,O=C(O)c1ccc(O)cc1,"['4-Hydroxybenzoic acid', '4-Hydroxybenzoic acid', '4-Hydroxybenzoic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,False,10,10,138.122,2,2,1,1.0903999999999998,57.53,1,2,0,Ionizable
23,23,23,24,O=C(O)c1ccc(O)c(O)c1,"['Protocatechuic acid', 'Protocatechuic acid', 'Protocatechuic acid', 'Protocatechuic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Posoqueria latifolia']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'Tesis WZ ']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,False,11,11,154.12099999999998,3,3,1,0.7959999999999998,77.76,1,3,0,Ionizable
24,24,24,25,O=C(O)c1cc(O)c(O)c(O)c1,"['Gallic acid', 'Gallic acid', 'Gallic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,Simple phenolic acids,,False,12,12,170.11999999999998,4,4,1,0.5015999999999998,97.99,1,4,0,Ionizable
25,25,25,26,COc1cc(C(=O)O)ccc1O,"['Vanillic acid', 'Vanillic acid', 'Vanillic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),Phenylpropanoids (C6-C3),,Cinnamic acids and derivatives,Simple phenolic acids,,False,12,12,168.148,2,3,2,1.0989999999999998,66.76,1,3,0,Ionizable
26,26,26,27,COc1cc(C(=O)O)cc(OC)c1O,"['Syringic acid', 'Syringic acid']","['Petiveria alliaceae', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Simple phenolic acids,,,False,14,14,198.174,2,4,3,1.1076,75.99000000000001,1,3,0,Ionizable
27,27,27,28,O=C(O)/C=C/c1ccc(O)cc1,"['p-Coumaric acid', 'p-Coumaric acid', 'p-Coumaric acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,12,12,164.16,2,2,2,1.49,57.53,1,2,0,Ionizable
28,28,28,29,O=C(O)/C=C/c1ccc(O)c(O)c1,"['Caffeic acid', 'Caffeic acid', 'Caffeic acid', 'Caffeic Acid']","['Petiveria alliacea', 'Phyllanthus niruri', 'Senna reticulata', 'Uncaria tomentosa']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules201219876']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,13,13,180.159,3,3,2,1.1956,77.76,1,3,0,Ionizable
29,29,29,30,COc1cc(/C=C/C(=O)O)ccc1O,"['Ferulic acid', 'Ferulic acid', 'Ferulic acid', 'ferulic acid']","['Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Uncaria tomentosa']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules201219876']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,14,14,194.186,2,3,3,1.4986,66.76,1,3,0,Ionizable
30,30,30,31,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,"['(+)-Catechin', '(+)-Catechin']","['Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,False,21,23,290.271,5,6,1,1.5460999999999998,110.38,2,4,0,Ionizable
31,31,31,32,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,"['(−)-Epicatechin', '(−)-Epicatechin']","['Phyllanthus niruri', 'Senna reticulata']","['https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,False,21,23,290.271,5,6,1,1.5460999999999998,110.38,2,4,0,Ionizable
32,32,32,33,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,['Procyanidin B1'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.9950000000000028,220.76,4,9,0,Ionizable
33,33,33,34,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,['Procyanidin B2'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.9950000000000028,220.76,4,9,0,Ionizable
34,34,34,35,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,['Procyanidin B3'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.9950000000000028,220.76,4,9,0,Ionizable
35,35,35,36,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,['Procyanidin B4'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.9950000000000028,220.76,4,9,0,Ionizable
36,36,36,37,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc2c(c1O)C[C@@H](O)[C@@H](c1ccc(O)c(O)c1)O2,['Procyanidin B5'],['Phyllanthus niruri '],['https://doi.org/10.3390/plants6040050'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,False,42,47,578.5260000000003,10,12,3,2.995000000000002,220.76,4,8,0,Ionizable
37,37,37,38,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,"['Shikimic acid', 'Shikimic acid']","['Malus domestica', 'Alchornea glandulosa']","['https://doi.org/10.3390/molecules26237367', 'Tesis Soledad']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Shikimic acids and derivatives,,,False,12,12,174.152,4,4,1,-1.5162000000000004,97.99,0,1,0,Ionizable
38,38,38,39,COC(=O)C=Cc1ccc(O)cc1,['Methyl-p-coumaroylquinic acid (I of II)'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,13,13,178.18699999999998,1,3,2,1.5783999999999998,46.53,1,1,0,Ionizable
39,39,39,40,COc1cc(/C=C/C(=O)O[C@@H]2C[C@](O)(C(=O)O)C[C@@H](O)[C@H]2O)ccc1O,['Feruloylquinic acid '],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,26,27,368.338,5,8,5,-0.3429000000000003,153.75,1,3,0,Ionizable
40,40,40,41,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,['Phloridzin'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,True,31,33,436.4130000000001,7,10,7,-0.2024000000000002,177.14,2,4,0,Ionizable
41,41,41,42,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,['Phloretin'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,False,20,21,274.272,4,5,4,2.324500000000001,97.99,2,4,0,Ionizable
42,42,42,43,CC1OC(OCC2OC(Oc3cc(O)c4c(=O)c(O)c(-c5ccc(O)c(O)c5)oc4c3)C(O)C(O)C2O)C(O)C(O)C1O,['Quercetin-rutinoside'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,True,43,47,610.5210000000004,10,16,6,-1.687100000000001,269.42999999999995,3,4,0,Ionizable
43,43,43,44,O=c1c(OC2OCC(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,['Quercetin-pentoside'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,True,31,34,434.3530000000002,7,11,3,0.1001999999999995,190.28,3,4,0,Ionizable
44,44,44,45,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,['(epi)catechin 3-O-gallate'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,False,32,35,442.37600000000015,7,10,3,2.5276000000000005,177.14,3,8,0,Ionizable
45,45,45,46,O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)cc1O,['3-hydroxyphloretin'],['Malus domestica'],['https://doi.org/10.3390/molecules26237367'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Chalcones,,,False,21,22,290.271,5,6,4,2.0301000000000005,118.22,2,5,0,Ionizable
46,46,46,47,O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,['Cinchonain'],['Uncaria tomentosa'],['https://doi.org/10.3390/molecules201219875'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,False,33,37,452.4150000000002,6,9,2,2.692700000000003,156.91,3,6,0,Ionizable
47,47,47,48,COc1cc(C=CC(=O)O)cc(OC)c1O,['Sinapic acid'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,False,16,16,224.212,2,4,4,1.5072,75.99000000000001,1,3,0,Ionizable
48,48,48,49,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,"['Ellagic acid', 'Ellagic Acid']","['Mangifera indica', 'Chamaecrista nictitans']","['https://doi.org/10.3390/foods8090384', 'https://doi.org/10.1007/s00216-014-7982-6']",Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,False,22,25,302.194,4,8,0,1.3127999999999995,141.34,4,4,0,Ionizable
49,49,49,50,O=C(OC1CC(O)(C(=O)O)CC(O)C1O)c1cc(O)c(O)c(O)c1,['Galloylquinic acid'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,Shikimic acids and derivatives,Simple phenolic acids,False,24,25,344.2720000000001,7,9,3,-1.3399,184.98,1,4,0,Ionizable
50,50,50,51,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,['Manguiferin'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Xanthones,,,Plant xanthones,,,False,30,33,422.3420000000001,8,11,2,-0.7165000000000005,201.28,3,4,0,Ionizable
51,51,51,52,O=C(OCC1OC(c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1,['Mangiferin-di-O-gallate'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Xanthones,,,Plant xanthones,,,False,41,45,574.4470000000002,10,15,4,0.2649999999999987,268.04,4,7,0,Ionizable
52,52,52,53,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1,['Rhamnetin'],['Mangifera indica'],['https://doi.org/10.3390/foods8090384'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavonols,,,False,23,25,316.26500000000004,4,7,2,2.2910000000000013,120.36,3,4,0,Ionizable
53,53,53,54,O=C(C=Cc1ccc(O)cc1)CC(O)CCc1ccc(O)cc1,"['5-hydroxy-1,7-bis(4- hydroxyphenyl)hept-1-en-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,23,24,312.365,3,4,7,3.063900000000001,77.76,2,2,0,Ionizable
54,54,54,55,COc1cc(C=CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,"['1,5-bis(4-hydroxy-3- methoxyphenyl)pent-1-en-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,24,25,326.348,2,5,6,3.4107000000000025,75.99000000000001,2,4,0,Ionizable
55,55,55,56,O=C(CCc1ccc(O)cc1)CC(=O)CCc1ccc(O)cc1,['Tetrahydrobisdemethoxycurcumin'],['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,23,24,312.36499999999995,2,4,8,3.1915000000000022,74.6,2,2,0,Ionizable
56,56,56,57,COc1cc(C=CC(=O)C=Cc2cccc(O)c2)ccc1O,"['2-(3,4-dihydroxybenzylidene)-5- (4-hydroxy-3-methoxystyryl)furan3(2H)-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,22,23,296.32200000000006,2,4,5,3.402100000000002,66.76,2,3,0,Ionizable
57,57,57,58,COc1cc(C=CC(=O)C=Cc2ccc(O)cc2)ccc1O,"['1-(4-hydroxy-3-methoxyphenyl)-5- (4-hydroxyphenyl)penta-1,4-dien-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,22,23,296.32200000000006,2,4,5,3.402100000000002,66.76,2,3,0,Ionizable
58,58,58,59,O=C(C=CC=Cc1ccc(O)cc1)C=Cc1ccc(O)cc1,"['1,7-bis(4-hydroxyphenyl)-1,4,6- heptatrien-3-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,22,23,292.334,2,3,5,3.9497000000000018,57.53,2,2,0,Ionizable
59,59,59,60,O=C(C=Cc1ccc(O)cc1)CC(=O)CCc1ccc(O)cc1,"['1-(4-hydroxyphenyl)-7-phenylhept-1- ene-3,5-dione']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,23,24,310.349,2,4,7,3.272100000000002,74.6,2,2,0,Ionizable
60,60,60,61,COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O,"['1-(4-hydroxy-3-methoxyphenyl)-7- (4-hydroxyphenyl)hepta-1,4,6-trien\x023-one']",['Curcuma longa'],['https://doi.org/10.3390/antiox11040620'],Shikimates and Phenylpropanoids,,,Diarylheptanoids,,,Linear diarylheptanoids,,,False,27,28,368.3850000000001,3,6,7,3.852600000000003,96.22,2,5,0,Ionizable
